Days,Price
1,205.46714153011231
2,199.61735698828815
3,207.97688538100692
4,217.23029856408024
5,200.15846625276663
6,200.6586304305082
7,219.29212815507393
8,211.6743472915291
9,199.80525614065047
10,210.42560043585965
11,200.86582307187538
12,201.34270246429742
13,208.91962271566035
14,187.86719755342202
15,190.25082167486968
16,202.37712470759027
17,198.37168879665577
18,212.14247332595275
19,200.41975924478788
20,195.87696298664707
21,225.15648768921554
22,208.74223699513465
23,212.17528204687923
24,197.75251813786542
25,207.05617275474816
26,214.10922589709867
27,201.99006422577696
28,217.75698018345673
29,208.49361310081196
30,212.08306250206724
31,209.48293387770602
32,234.52278184508938
33,216.36502775262065
34,206.42289071044098
35,225.7254491210319
36,205.79156350028978
37,220.58863595004755
38,199.40329876120225
39,206.2181395110157
40,221.96861235869125
41,227.8846657999541
42,222.7136828118997
43,220.3435171761176
44,218.98896304410712
45,207.71478009632574
46,215.8015579160529
47,218.89361229040213
48,234.57122226218917
49,227.93618289568462
50,207.36959844637266
51,228.74083969394795
52,222.14917719583684
53,219.7307799969404
54,233.1167628884087
55,237.80999522495952
56,237.31280119116198
57,220.10782476777362
58,225.90787624148786
59,232.81263431403565
60,239.7554512712236
61,225.7082576215471
62,229.14341023336183
63,220.4366502599397
64,220.0379337591933
65,240.62525822394198
66,246.56240028570824
67,232.77989878419666
68,244.03532897892023
69,238.11636025047633
70,228.54880245394875
71,239.11395605508415
72,251.38036566465968
73,236.14173960890048
74,252.64643655814007
75,211.30254895910255
76,246.21902504375223
77,239.37047068238172
78,236.00992649534132
79,240.41760776535503
80,220.12431085399106
81,238.30328112162488
82,244.57112571511746
83,256.27894044741515
84,236.81729781726352
85,234.41506397106812
86,237.98242956415464
87,252.65402117702075
88,247.28751109659686
89,239.2023979623296
90,250.13267433113356
91,246.4707754934804
92,255.68644990532889
93,239.47946906122647
94,243.72337853402232
95,243.5789184686784
96,233.36485051867882
97,251.46120277064577
98,251.61055272179888
99,249.55113456642462
100,247.65412866624854
101,236.34629257949587
102,246.79354677234642
103,248.0728548347323
104,243.9772273077838
105,250.88714288333992
106,257.04050856814536
107,272.3618590121053
108,255.7457781283184
109,257.07550390722764
110,254.25554084233832
111,236.3122878470096
112,255.73486124550783
113,257.1023020994103
114,281.63242112485284
115,255.57639035218878
116,261.0154734233361
117,258.15288230294755
118,247.31321962380468
119,270.92822814515023
120,267.51933032686776
121,268.41031947043047
122,251.9061254520526
123,275.527943109361
124,247.9814893720772
125,268.3685709380027
126,284.9045562580998
127,253.59463674869312
128,258.33702270397225
129,265.4965136508764
130,259.965243458838
131,249.99336568933867
132,266.68562974806025
133,255.87696286273896
134,271.7359243063518
135,258.30575765766196
136,283.4993440501754
137,260.66746707663765
138,265.77938483794327
139,277.6351721736967
140,257.69135683566043
141,272.77459934604127
142,284.07142754282427
143,255.42516765438774
144,273.84633858532305
145,275.09882794248426
146,280.8182287177731
147,261.1304928912192
148,260.79543386915725
149,279.71941565616896
150,277.96984673233186
151,278.00492850345876
152,279.46448209496975
153,269.6997527842151
154,279.32253697161
155,280.4307247329868
156,270.85648581973635
157,297.1577451114476
158,283.73832920911786
159,267.5869650279735
160,286.5655360863383
161,270.75318329772676
162,288.87084603742454
163,293.085955790074
164,273.7931768164829
165,292.13376129244324
166,287.127809269365
167,291.72060159994487
168,302.9679298265395
169,282.0461188399713
170,277.4626383564251
171,276.60485570374476
172,277.84189715034563
173,285.72898290585897
174,290.4115197481664
175,290.2669079933002
176,296.2718324903602
177,288.63001891877906
178,303.53534077157315
179,286.85343166762044
180,317.2016916658962
181,296.75667347765005
182,282.4284244358372
183,280.79107501938887
184,296.8247241524318
185,290.26537214674147
186,300.1400049409209
187,298.23237624573545
188,293.2717108734313
189,286.03206281931597
190,279.85152775314134
191,291.0348504793298
192,304.56398794323474
193,298.640937441302
194,284.5426122128801
195,299.2318092585118
196,301.8531737972884
197,289.66142563798866
198,300.5372510594553
199,300.08208718446
200,288.57029702169376
201,304.07787360348283
202,306.60784526368235
203,312.33051243175277
204,312.53802052034905
205,288.72330632042906
206,293.6217496008488
207,308.65035267208657
208,309.1378595091221
209,309.6504768630605
210,343.5273149065472
211,311.2089051069317
212,317.355656401806
213,316.04001763493204
214,313.51391251305796
215,304.3473075535965
216,315.5896922049327
217,300.77174785462427
218,306.6318139325999
219,304.64636452170896
220,310.8187413938632
221,333.64658566673506
222,292.3273480740825
223,318.36260190374514
224,295.8728412881035
225,307.78068134210565
226,323.8895059696737
227,314.14280019095463
228,303.2225522207069
229,307.3469629074003
230,321.79597748934674
231,308.19633368282865
232,318.16458589581976
233,316.9557183990381
234,310.4839965239418
235,338.9394408932533
236,324.33919022318014
237,298.2485741334239
238,320.8645431476943
239,312.88213535231614
240,328.5243333479622
241,312.574792615673
242,319.85263558533103
243,326.54987278980457
244,330.65755194170123
245,310.49703592944223
246,319.65498764159054
247,318.75054688839043
248,317.46670767426286
249,342.154542402811
250,329.04981710960953
251,312.8911604566496
252,335.17861947054774
253,347.72156197012634
254,337.32465260551146
255,312.30630034045987
256,323.1576592713375
257,341.1691114918662
258,321.9233053438122
259,333.9381942814623
260,337.7463405342934
261,321.23069528421917
262,330.404746439382
263,299.0873265993093
264,321.7561235866571
265,329.9743184860684
266,320.5221681803515
267,349.82411303931633
268,319.6985862203937
269,330.09955513303015
270,336.30740577286093
271,349.9127328906612
272,321.6413784882056
273,348.1316375215496
274,337.10233061019585
275,327.6849134895205
276,342.62103474263273
277,340.4905969557347
278,332.99783122841205
279,340.1980208499002
280,336.1468640313824
281,341.6351734525125
282,347.62130674521046
283,357.36016816145354
284,329.6218450117315
285,363.83033374656264
286,323.479122004775
287,341.9821490496442
288,349.8831720648458
289,347.3099186773503
290,338.77300480179406
291,343.41877749642725
292,341.06999065341165
293,340.6063524305579
294,355.4960209702102
295,351.0701548596505
296,341.07090404739347
297,357.4959987543325
298,352.0729952087661
299,357.6286211883896
300,356.29628841923613
301,342.21004989077926
302,345.3981895980303
303,358.97293605123264
304,358.10370265433465
305,352.29098406035854
306,354.1732738330878
307,366.2766489578843
308,348.0842861116417
309,359.9709738117004
310,352.97807347566106
311,353.3231879677278
312,366.9877685198719
313,364.7541634898803
314,365.1350963600064
315,370.55478807154327
316,358.21003841632756
317,365.31952971294965
318,355.89733243406545
319,362.7416635248844
320,358.6985694563231
